Period,Subject,Hours
Fall 2007,WESTERN PAINTING,40
Fall 2007,DESIGN,40
Fall 2007,COMPUTER GRAPHICS,40
Fall 2007,DRAWING REPRSENTATIONAL,60
Spring 2008,HISTORY OF FINE ARTS,20
Spring 2008,DRAWING REPRSENTATIONAL,120
Spring 2008,WESTERN DRAWING MAJOR,140
Fall 2008,HISTORY OF FINE ARTS,20
Fall 2008,DRAWING REPRSENTATIONAL,120
Fall 2008,WESTERN DRAWING MAJOR,140
Spring 2009,APPRECIATION OF FINE ART,20
Spring 2009,DRAWING REPRSENTATIONAL,120
Spring 2009,WESTERN DRAWING MAJOR,160
Fall 2009,APPRECIATION OF FINE ART,20
Fall 2009,DRAWING REPRSENTATIONAL,120
Fall 2009,WESTERN DRAWING MAJOR,160
